"id","station_area","pm10_min","pm10_max","pm10_overstd","pm10_count","no2_min","no2_max","no2_overstd","no2_count","co1h_min","co1h_max","co1h_overstd","co1h_count","co8h_min","co8h_max","co8h_overstd","co8h_count","o31h_min","o31h_max","o31h_overstd","o31h_count","o38h_min","o38h_max","o38h_overstd","o38h_count","pm2_5_min","pm2_5_max","pm2_5_overstd","pm2_5_count","adddate","updatedate"
"6","ค่ามาตรฐาน","-","-","120","-","-","-","170","-","-","-","30","-","-","-","9","-","-","-","100","-","-","-","70","-","-","-","50","-","2020-05-23","2020-09-15"
"5","สรุป","13","185","59","1434","0","158.4","0","33142","0","13.8","0","33067","0","7.9","0","34385","0","113","4","8393","0","79.4","9","8665","9","76","16","354","2020-05-23","2020-09-15"
"4","ราชเทวี","18","125","1","354","2","100","0","8372","0","13.8","0","8278","0.1","2.6","0","8556","0","113","4","8393","0","79.4","9","8665","9","76","16","354","2020-05-23","2020-09-15"
"3","ราษฎร์บูรณะ","36","165","16","361","0","116.2","0","8355","0","5.4","0","8253","0","3.1","0","8619","-","-","-","-","-","-","-","-","-","-","-","-","2020-05-23","2020-09-15"
"2","พระโขนง","13","155","14","362","0","158.4","0","8286","0","4.5","0","8295","0.1","3.2","0","8604","-","-","-","-","-","-","-","-","-","-","-","-","2020-05-23","2020-09-15"
"1","ดินแดง","29","185","28","357","0","136.6","0","8129","0","12.4","0","8241","0","7.9","0","8606","-","-","-","-","-","-","-","-","-","-","-","-","2020-05-23","2020-10-15"
