"id","station_area","pm10_min","pm10_max","pm10_overstd","pm10_count","no2_min","no2_max","no2_overstd","no2_count","co1h_min","co1h_max","co1h_overstd","co1h_count","co8h_min","co8h_max","co8h_overstd","co8h_count","o31h_min","o31h_max","o31h_overstd","o31h_count","o38h_min","o38h_max","o38h_overstd","o38h_count","pm2_5_min","pm2_5_max","pm2_5_overstd","pm2_5_count","adddate","updatedate"
"6","ค่ามาตรฐาน","-","-","120","-","-","-","170","-","-","-","30","-","-","-","9","-","-","-","100","-","-","-","70","-","-","-","50","-","2020-05-23","2020-05-23"
"5","สรุป","21","184","60","1257","0","179","3","31275","0","15","0","30808","0","5.4","0","31941","0","103","1","8338","0","78","13","8610","7","68","5","351","2020-05-23","2020-09-15"
"4","ราชเทวี","21","104","0","347","4","96","0","8214","0","13","0","7888","0","2.8","0","8137","0","103","1","8338","0","78","13","8610","7","68","5","351","2020-05-23","2020-05-23"
"3","ราษฎร์บูรณะ","37","168","22","335","0","161","0","8310","0","9","0","8310","0","3","0","8664","-","-","-","-","-","-","-","-","-","-","-","-","2020-05-23","2020-05-23"
"2","พระโขนง","27","184","36","335","1","171","1","8160","0","15","0","8141","0.4","4.1","0","8482","-","-","-","-","-","-","-","-","-","-","-","-","2020-05-23","2020-05-23"
"1","ดินแดง","44","139","2","240","0","179","2","6591","0","15","0","6469","0","5.4","0","6658","-","-","-","-","-","-","-","-","-","-","-","-","2020-05-23","2020-10-15"
