"id","station_area","pm10_min","pm10_max","pm10_overstd","pm10_count","no2_min","no2_max","no2_overstd","no2_count","co1h_min","co1h_max","co1h_overstd","co1h_count","co8h_min","co8h_max","co8h_overstd","co8h_count","o31h_min","o31h_max","o31h_overstd","o31h_count","o38h_min","o38h_max","o38h_overstd","o38h_count","pm2_5_min","pm2_5_max","pm2_5_overstd","pm2_5_count","adddate","updatedate"
"6","ค่ามาตรฐาน","0","0","120","0","0","0","170","0","0","0","30","0","0","0","9","0","0","0","100","0","0","0","70","0","0","0","50","0","2020-06-11","2020-08-10"
"5","สรุป","19","185","55","1318","0","182","3","32030","0","16","0","32147","0","5.6","0","33225","0","112","6","8269","0","88","14","8599","9","90","10","338","2020-06-11","2020-06-11"
"4","ราชเทวี","19","118","0","339","6","93","0","8380","0","14","0","8415","0","3.7","0","8701","0","112","6","8269","0","88","14","8599","9","90","10","338","2020-06-11","2020-06-11"
"3","ราษฎร์บูรณะ","43","181","29","343","2","182","3","8002","0","11","0","8127","0","2.8","0","8358","0","0","0","0","0","0","0","0","0","0","0","0","2020-06-11","2020-06-11"
"2","พระโขนง","21","185","17","308","0","132","0","7487","0","5","0","7767","0","3.5","0","8019","0","0","0","0","0","0","0","0","0","0","0","0","2020-06-11","2020-06-11"
"1","ดินแดง","39","148","9","328","0","122","0","8161","0","16","0","7838","0","5.6","0","8147","0","0","0","0","0","0","0","0","0","0","0","0","2020-06-11","2020-10-15"
